Aug 14 00:14:58 sweb-vs-001 postfix/smtp[9698]: A185A41ED7: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.8, delays=0.07/0.18/0.28/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7E4EuKP011262 Message accepted for delivery)
Aug 14 11:50:52 sweb-vs-001 postfix/smtp[30568]: DEEA74270A: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=4.4, delays=0.04/0/0.22/4.1, dsn=2.0.0, status=sent (250 2.0.0 t7EFolUZ016122 Message accepted for delivery)
Aug 14 11:50:52 sweb-vs-001 postfix/smtp[30560]: DEEA74270A: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=4.4, delays=0.04/0/0.23/4.1, dsn=2.0.0, status=sent (250 2.0.0 t7EFol7U016123 Message accepted for delivery)
Aug 14 11:50:57 sweb-vs-001 postfix/smtp[30569]: CFB5C42709: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=10, delays=0.05/0/0.23/9.7, dsn=2.0.0, status=sent (250 2.0.0 t7EFolC6016121 Message accepted for delivery)
Aug 14 11:50:58 sweb-vs-001 postfix/smtp[30562]: C357A42708: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=10, delays=0.05/0/0.22/10, dsn=2.0.0, status=sent (250 2.0.0 t7EFolW9016119 Message accepted for delivery)
Aug 14 11:50:58 sweb-vs-001 postfix/smtp[30564]: C357A42708: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=10, delays=0.05/0/0.21/10, dsn=2.0.0, status=sent (250 2.0.0 t7EFolV1016120 Message accepted for delivery)
Aug 14 11:56:05 sweb-vs-001 postfix/smtp[30761]: 1EF9D42761: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.1, delays=0.08/0.14/0.36/0.55, dsn=2.0.0, status=sent (250 2.0.0 t7EFu3F4024534 Message accepted for delivery)
Aug 14 11:56:05 sweb-vs-001 postfix/smtp[30761]: 1EF9D42761: to=<sari.roston@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.1, delays=0.08/0.14/0.36/0.55, dsn=2.0.0, status=sent (250 2.0.0 t7EFu3F4024534 Message accepted for delivery)
Aug 14 11:56:08 sweb-vs-001 postfix/smtp[30768]: 4850242762: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=3.9, delays=0.09/0.16/0.21/3.4, dsn=2.0.0, status=sent (250 2.0.0 t7EFu3As024547 Message accepted for delivery)
Aug 14 11:56:08 sweb-vs-001 postfix/smtp[30771]: 4850242762: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3.9, delays=0.09/0.1/0.25/3.5, dsn=2.0.0, status=sent (250 2.0.0 t7EFu3pF024544 Message accepted for delivery)
Aug 14 11:56:12 sweb-vs-001 postfix/smtp[30767]: 2AD9E42760: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=8.1, delays=0.15/0.09/0.32/7.6, dsn=2.0.0, status=sent (250 2.0.0 t7EFu3KP024543 Message accepted for delivery)
Aug 14 11:56:12 sweb-vs-001 postfix/smtp[30763]: 1EF9D42761: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=8.2, delays=0.08/0.16/0.32/7.6, dsn=2.0.0, status=sent (250 2.0.0 t7EFu3Ui024535 Message accepted for delivery)
Aug 14 11:58:58 sweb-vs-001 postfix/smtp[30847]: 7F19D42782: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.3, delays=0.08/0.02/0.22/7, dsn=2.0.0, status=sent (250 2.0.0 t7EFwotU028257 Message accepted for delivery)
Aug 14 11:58:58 sweb-vs-001 postfix/smtp[30844]: 7F19D42782: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=7.3, delays=0.08/0.02/0.24/7, dsn=2.0.0, status=sent (250 2.0.0 t7EFwoar028258 Message accepted for delivery)
Aug 14 11:58:58 sweb-vs-001 postfix/smtp[30843]: 6D49542780: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.4, delays=0.07/0.03/0.25/7.1, dsn=2.0.0, status=sent (250 2.0.0 t7EFwowS028251 Message accepted for delivery)
Aug 14 11:58:58 sweb-vs-001 postfix/smtp[30836]: 5AB834277F: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=7.5, delays=0.05/0.05/0.36/7, dsn=2.0.0, status=sent (250 2.0.0 t7EFwoJZ028249 Message accepted for delivery)
Aug 14 11:58:58 sweb-vs-001 postfix/smtp[30834]: 5AB834277F: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.5, delays=0.05/0.02/0.35/7.1, dsn=2.0.0, status=sent (250 2.0.0 t7EFwoau028247 Message accepted for delivery)
Aug 14 11:58:59 sweb-vs-001 postfix/smtp[30837]: CBB224277E: to=<noreply@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1, delays=0.06/0/0.24/0.75, dsn=5.1.1, status=bounced (host sinairally.org.mf.canit.ca[174.142.115.37] said: 550 5.1.1 <noreply@sinairally.org>... User unknown (in reply to RCPT TO command))
Aug 14 12:00:57 sweb-vs-001 postfix/smtp[30930]: 3AA5042798: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=4.6, delays=0.04/0.03/0.27/4.2, dsn=2.0.0, status=sent (250 2.0.0 t7EG0rS5032370 Message accepted for delivery)
Aug 14 12:00:58 sweb-vs-001 postfix/smtp[30933]: 3AA5042798: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=5.1, delays=0.04/0.05/0.24/4.8, dsn=2.0.0, status=sent (250 2.0.0 t7EG0r64032373 Message accepted for delivery)
Aug 14 12:01:02 sweb-vs-001 postfix/smtp[30924]: 1AA7342796: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=9, delays=0.04/0.05/0.34/8.6, dsn=2.0.0, status=sent (250 2.0.0 t7EG0r7t032365 Message accepted for delivery)
Aug 14 12:01:02 sweb-vs-001 postfix/smtp[30922]: 1AA7342796: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=9, delays=0.04/0.02/0.34/8.6, dsn=2.0.0, status=sent (250 2.0.0 t7EG0reA032363 Message accepted for delivery)
Aug 14 12:01:08 sweb-vs-001 postfix/smtp[30925]: 20F3C42795: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=15, delays=0.03/0.08/0.31/14, dsn=2.0.0, status=sent (250 2.0.0 t7EG0rr1032368 Message accepted for delivery)
Aug 14 12:01:17 sweb-vs-001 postfix/smtp[30922]: 375D4427A2: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.5, delays=0.04/0/0.23/2.2, dsn=2.0.0, status=sent (250 2.0.0 t7EG1FWR000729 Message accepted for delivery)
Aug 14 12:01:17 sweb-vs-001 postfix/smtp[30929]: 375D4427A2: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.04/0/0.19/2.3, dsn=2.0.0, status=sent (250 2.0.0 t7EG1FRD000730 Message accepted for delivery)
Aug 14 12:01:23 sweb-vs-001 postfix/smtp[30921]: 1EDFF4279D: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=8.2, delays=0.04/0/0.24/7.9, dsn=2.0.0, status=sent (250 2.0.0 t7EG1FfM000720 Message accepted for delivery)
Aug 14 12:01:23 sweb-vs-001 postfix/smtp[30930]: 18CE84279F: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=8.5, delays=0.04/0/0.22/8.2, dsn=2.0.0, status=sent (250 2.0.0 t7EG1FaR000718 Message accepted for delivery)
Aug 14 12:01:23 sweb-vs-001 postfix/smtp[30934]: 18CE84279F: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=8.5, delays=0.04/0/0.22/8.2, dsn=2.0.0, status=sent (250 2.0.0 t7EG1FxZ000717 Message accepted for delivery)
Aug 14 12:01:25 sweb-vs-001 postfix/smtp[30931]: 547B0427A3: to=<noreply@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.9, delays=0.02/0/0.21/1.7, dsn=5.1.1, status=bounced (host sinairally.org.mf.canit.ca[174.142.115.37] said: 550 5.1.1 <noreply@sinairally.org>... User unknown (in reply to RCPT TO command))
Aug 14 12:02:16 sweb-vs-001 postfix/smtp[30929]: A8260427B4: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.7, delays=0.05/0/0.36/2.3, dsn=2.0.0, status=sent (250 2.0.0 t7EG2D90002669 Message accepted for delivery)
Aug 14 12:02:16 sweb-vs-001 postfix/smtp[30933]: A8260427B4: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.9, delays=0.05/0/0.36/2.5, dsn=2.0.0, status=sent (250 2.0.0 t7EG2DdW002668 Message accepted for delivery)
Aug 14 12:02:16 sweb-vs-001 postfix/smtp[30924]: 897CE427B2: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3.2, delays=0.08/0/0.39/2.7, dsn=2.0.0, status=sent (250 2.0.0 t7EG2DD2002663 Message accepted for delivery)
Aug 14 12:02:21 sweb-vs-001 postfix/smtp[30931]: 98918427B1: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.4, delays=0.06/0/0.33/7, dsn=2.0.0, status=sent (250 2.0.0 t7EG2DsX002664 Message accepted for delivery)
Aug 14 12:02:21 sweb-vs-001 postfix/smtp[30932]: 897CE427B2: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=7.6, delays=0.08/0/0.37/7.1, dsn=2.0.0, status=sent (250 2.0.0 t7EG2Dk7002662 Message accepted for delivery)
Aug 14 12:04:21 sweb-vs-001 postfix/smtp[31093]: 89408427E2: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3.4, delays=0.07/0.04/0.43/2.9, dsn=2.0.0, status=sent (250 2.0.0 t7EG4I1w006704 Message accepted for delivery)
Aug 14 12:04:22 sweb-vs-001 postfix/smtp[31095]: 89408427E2: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=3.8, delays=0.07/0.07/0.43/3.2, dsn=2.0.0, status=sent (250 2.0.0 t7EG4Ia2006706 Message accepted for delivery)
Aug 14 12:04:23 sweb-vs-001 postfix/smtp[31094]: AD9BB427E5: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=5, delays=0.04/0.08/0.29/4.6, dsn=2.0.0, status=sent (250 2.0.0 t7EG4InC006717 Message accepted for delivery)
Aug 14 12:04:24 sweb-vs-001 postfix/smtp[31104]: AD9BB427E5: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=5.3, delays=0.04/0.06/0.3/4.9, dsn=2.0.0, status=sent (250 2.0.0 t7EG4ICV006716 Message accepted for delivery)
Aug 14 12:04:32 sweb-vs-001 postfix/smtp[31101]: 9DBA4427E1: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=14, delays=0.09/0.07/0.34/14, dsn=2.0.0, status=sent (250 2.0.0 t7EG4I5S006714 Message accepted for delivery)
Aug 14 12:10:16 sweb-vs-001 postfix/smtp[31299]: CD5404284F: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.1, delays=0.13/0.02/0.45/6.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGAAwi018584 Message accepted for delivery)
Aug 14 12:10:16 sweb-vs-001 postfix/smtp[31296]: C17FD42850: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=7.2, delays=0.08/0.07/0.51/6.6, dsn=2.0.0, status=sent (250 2.0.0 t7EGAAhq018585 Message accepted for delivery)
Aug 14 12:10:16 sweb-vs-001 postfix/smtp[31294]: C17FD42850: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.2, delays=0.08/0.05/0.66/6.4, dsn=2.0.0, status=sent (250 2.0.0 t7EGAA4N018583 Message accepted for delivery)
Aug 14 12:12:26 sweb-vs-001 postfix/smtp[31373]: 5CCEB42878: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=4.9, delays=0.05/0.04/0.28/4.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGCL08022364 Message accepted for delivery)
Aug 14 12:12:26 sweb-vs-001 postfix/smtp[31376]: 4CA7342875: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=5, delays=0.03/0.08/0.32/4.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGCL5O022362 Message accepted for delivery)
Aug 14 12:12:26 sweb-vs-001 postfix/smtp[31380]: 5CCEB42878: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=4.9, delays=0.05/0.02/0.33/4.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGCLs9022363 Message accepted for delivery)
Aug 14 12:12:26 sweb-vs-001 postfix/smtp[31368]: 4579642876: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=5, delays=0.05/0.03/0.4/4.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGCLQ6022358 Message accepted for delivery)
Aug 14 12:12:28 sweb-vs-001 postfix/smtp[31370]: 4579642876: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=6.9, delays=0.05/0.05/0.4/6.4, dsn=2.0.0, status=sent (250 2.0.0 t7EGCLCL022360 Message accepted for delivery)
Aug 14 12:15:08 sweb-vs-001 postfix/smtp[31498]: E355D428AE: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.05/0.02/0.22/2.3, dsn=2.0.0, status=sent (250 2.0.0 t7EGF5Ib026964 Message accepted for delivery)
Aug 14 12:15:08 sweb-vs-001 postfix/smtp[31488]: CA24F428AC: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.8, delays=0.05/0.02/0.26/2.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGF5cE026949 Message accepted for delivery)
Aug 14 12:15:08 sweb-vs-001 postfix/smtp[31499]: E355D428AE: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.7, delays=0.05/0.01/0.23/2.4, dsn=2.0.0, status=sent (250 2.0.0 t7EGF55r026963 Message accepted for delivery)
Aug 14 12:15:12 sweb-vs-001 postfix/smtp[31490]: CA24F428AC: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=7.2, delays=0.05/0.04/0.25/6.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGF5ou026951 Message accepted for delivery)
Aug 14 12:15:12 sweb-vs-001 postfix/smtp[31496]: D329C428AB: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.1, delays=0.05/0.04/0.21/6.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGF53C026955 Message accepted for delivery)
Aug 14 12:17:56 sweb-vs-001 postfix/smtp[31590]: 9CB35428E9: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.1, delays=0.03/0.04/0.24/1.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGHshq032125 Message accepted for delivery)
Aug 14 12:17:56 sweb-vs-001 postfix/smtp[31579]: 9CB35428E9: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.1, delays=0.03/0.06/0.21/1.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGHstk032127 Message accepted for delivery)
Aug 14 12:17:56 sweb-vs-001 postfix/smtp[31585]: 8D9BA428E7: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.04/0.03/0.28/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EGHs60032123 Message accepted for delivery)
Aug 14 12:17:56 sweb-vs-001 postfix/smtp[31578]: 802E8428E6: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.04/0.05/0.32/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EGHsTs032121 Message accepted for delivery)
Aug 14 12:17:56 sweb-vs-001 postfix/smtp[31576]: 802E8428E6: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.04/0.03/0.35/1.9, dsn=2.0.0, status=sent (250 2.0.0 t7EGHsmD032120 Message accepted for delivery)
Aug 14 12:17:59 sweb-vs-001 postfix/smtp[31577]: E082941DA6: to=<noreply@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=0.32, delays=0.02/0/0.22/0.08, dsn=5.1.1, status=bounced (host sinairally.org.mf.canit.ca[174.142.115.37] said: 550 5.1.1 <noreply@sinairally.org>... User unknown (in reply to RCPT TO command))
Aug 14 12:19:33 sweb-vs-001 postfix/smtp[31574]: 83E8E4290A: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.9, delays=0.05/0/0.21/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EGJVi2001970 Message accepted for delivery)
Aug 14 12:19:33 sweb-vs-001 postfix/smtp[31588]: 71A364290C: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2, delays=0.09/0/0.23/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EGJVZE001969 Message accepted for delivery)
Aug 14 12:19:33 sweb-vs-001 postfix/smtp[31590]: 83E8E4290A: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.9, delays=0.05/0/0.23/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EGJVbl001972 Message accepted for delivery)
Aug 14 12:19:33 sweb-vs-001 postfix/smtp[31578]: 655704290B: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.07/0/0.27/1.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGJVpc001967 Message accepted for delivery)
Aug 14 12:19:33 sweb-vs-001 postfix/smtp[31577]: 655704290B: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.2, delays=0.07/0/0.28/1.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGJVUc001966 Message accepted for delivery)
Aug 14 12:21:09 sweb-vs-001 postfix/smtp[31590]: 43C8942929: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.3, delays=0.02/0/0.27/2, dsn=2.0.0, status=sent (250 2.0.0 t7EGL7Wf005402 Message accepted for delivery)
Aug 14 12:21:09 sweb-vs-001 postfix/smtp[31591]: 43C8942929: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.4, delays=0.02/0/0.29/2.1, dsn=2.0.0, status=sent (250 2.0.0 t7EGL7VP005403 Message accepted for delivery)
Aug 14 12:21:09 sweb-vs-001 postfix/smtp[31577]: 36AD942926: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.5, delays=0.04/0/0.29/2.2, dsn=2.0.0, status=sent (250 2.0.0 t7EGL68G005399 Message accepted for delivery)
Aug 14 12:21:10 sweb-vs-001 postfix/smtp[31582]: 2BC6742927: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.9, delays=0.07/0/0.34/2.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGL6dW005393 Message accepted for delivery)
Aug 14 12:21:10 sweb-vs-001 postfix/smtp[31592]: 2BC6742927: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3.1, delays=0.07/0/0.34/2.7, dsn=2.0.0, status=sent (250 2.0.0 t7EGL6np005394 Message accepted for delivery)
Aug 14 12:28:14 sweb-vs-001 postfix/smtp[31946]: 5EEB242961: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=4.1, delays=0.11/0.01/0.24/3.7, dsn=2.0.0, status=sent (250 2.0.0 t7EGSATh017773 Message accepted for delivery)
Aug 14 12:28:14 sweb-vs-001 postfix/smtp[31942]: 4B46142963: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=4.2, delays=0.09/0.03/0.23/3.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGSArc017772 Message accepted for delivery)
Aug 14 12:28:14 sweb-vs-001 postfix/smtp[31934]: 410AB42962: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=4.2, delays=0.04/0.03/0.34/3.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGSAEr017763 Message accepted for delivery)
Aug 14 12:28:14 sweb-vs-001 postfix/smtp[31948]: 5EEB242961: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=4.2, delays=0.11/0.03/0.29/3.7, dsn=2.0.0, status=sent (250 2.0.0 t7EGSAYU017777 Message accepted for delivery)
Aug 14 12:28:15 sweb-vs-001 postfix/smtp[31936]: 410AB42962: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=4.8, delays=0.04/0.05/0.3/4.4, dsn=2.0.0, status=sent (250 2.0.0 t7EGSAgZ017764 Message accepted for delivery)
Aug 14 12:51:06 sweb-vs-001 postfix/smtp[32610]: 9E51A413E0: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.03/0.02/0.22/2.3, dsn=2.0.0, status=sent (250 2.0.0 t7EGp23c030900 Message accepted for delivery)
Aug 14 12:51:06 sweb-vs-001 postfix/smtp[32612]: 9E51A413E0: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.6, delays=0.03/0.04/0.21/2.3, dsn=2.0.0, status=sent (250 2.0.0 t7EGp2as030903 Message accepted for delivery)
Aug 14 12:51:11 sweb-vs-001 postfix/smtp[32600]: 84863413DE: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=8, delays=0.05/0.04/0.25/7.6, dsn=2.0.0, status=sent (250 2.0.0 t7EGp2oW030895 Message accepted for delivery)
Aug 14 12:51:11 sweb-vs-001 postfix/smtp[32598]: 84863413DE: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=8, delays=0.05/0.02/0.31/7.6, dsn=2.0.0, status=sent (250 2.0.0 t7EGp2cO030894 Message accepted for delivery)
Aug 14 12:51:11 sweb-vs-001 postfix/smtp[32606]: 8C712413D8: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=7.9, delays=0.02/0.06/0.22/7.6, dsn=2.0.0, status=sent (250 2.0.0 t7EGp2u6030897 Message accepted for delivery)
Aug 14 12:52:47 sweb-vs-001 postfix/smtp[32610]: 04722415AF: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=5, delays=0.04/0/0.27/4.7, dsn=2.0.0, status=sent (250 2.0.0 t7EGqfdS000667 Message accepted for delivery)
Aug 14 12:52:48 sweb-vs-001 postfix/smtp[32601]: 04722415AF: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=6.3, delays=0.04/0/0.26/6, dsn=2.0.0, status=sent (250 2.0.0 t7EGqf8F000666 Message accepted for delivery)
Aug 14 12:52:50 sweb-vs-001 postfix/smtp[32597]: D8E6C415A9: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=8.2, delays=0.05/0/0.29/7.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGqfJv000654 Message accepted for delivery)
Aug 14 12:52:50 sweb-vs-001 postfix/smtp[32609]: E6B51415AE: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=8.1, delays=0.04/0/0.28/7.8, dsn=2.0.0, status=sent (250 2.0.0 t7EGqfEG000665 Message accepted for delivery)
Aug 14 12:52:50 sweb-vs-001 postfix/smtp[32607]: D8E6C415A9: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=8.2, delays=0.05/0/0.23/7.9, dsn=2.0.0, status=sent (250 2.0.0 t7EGqfhD000653 Message accepted for delivery)
Aug 14 12:55:04 sweb-vs-001 postfix/smtp[32720]: AAB7441655: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=12, delays=0.05/0.03/0.23/12, dsn=2.0.0, status=sent (250 2.0.0 t7EGsp6f003886 Message accepted for delivery)
Aug 14 12:55:04 sweb-vs-001 postfix/smtp[32722]: AAB7441655: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=12, delays=0.05/0.05/0.22/12, dsn=2.0.0, status=sent (250 2.0.0 t7EGsphb003887 Message accepted for delivery)
